f,omega,E_stor,E_loss,E_comp,tan_del,t,E_relax
Hz,rad/s,MPa,MPa,MPa,-,s,MPa
1.4640924938649728e-05,9.199164445804316e-05,493.02195601856806,346.03085484284634,602.3354560538885,0.7018568861258062,68301.69570504101,175.45467356785466
1.852563894391259e-05,0.00011640002241850553,574.2697487381078,343.27165634320846,669.0449718549114,0.5977533329894336,53979.24481997928,177.8473256586812
2.3441094037318542e-05,0.00014728473763949486,650.0489523810498,322.7416003290224,725.7587623133728,0.49648814777234757,42660.12492454432,184.45290758574617
2.966077938418249e-05,0.00018636417322619061,713.9218688113809,289.33922077263514,770.3256580462904,0.4052813527821473,33714.55574539893,198.55202560762902
3.7530749728513194e-05,0.00023581265526162836,763.32249226477,249.61741328535257,803.1002927484028,0.3270143560747703,26644.818108716627,223.06392308978775
4.7488879403332506e-05,0.0002983814293214421,799.0483789852623,209.24962762565048,825.9925657174214,0.2618735399868822,21057.561529443577,259.25843499111386
6.0089225056725216e-05,0.00037755173599622334,823.6490932715648,171.8899418939182,841.394069964464,0.20869317200504037,16641.91873095357,306.1977157265463
7.603285260221141e-05,0.0004777285023331659,840.0226818705814,139.27663962382636,851.4905098719241,0.16580104636422674,13152.20941705027,361.11046712945137
9.620684356258967e-05,0.0006044854259225884,850.6752616621039,111.83797389247088,857.9954156102829,0.13146964409656708,10394.27095796388,420.30867075019853
0.00012173365106661011,0.0007648750877710512,857.5035038308372,89.28470605800646,862.139210231171,0.10412168073848475,8214.655448498961,480.12300592646216
0.00015403355159829428,0.0009678213482150913,861.8387447091287,71.01745885289,864.7597940143429,0.08240225829816743,6492.0920774969245,537.5363454194769
0.00019490366722839714,0.0012246158582448843,864.5745063721548,56.35813228287801,866.4094390893197,0.06518597514442409,5130.7397865846915,590.4506400112349
0.00024661795501635655,0.0015495463114454475,866.2942982663673,44.66280935727844,867.4448557392581,0.05155616220337349,4054.854805416242,637.6750342055705
0.00031205372685562383,0.0019606913916298875,867.3728094015097,35.36703521844486,868.093553523588,0.040774894987598516,3204.5763723971304,678.7624850906246
0.000394851739152674,0.002480926645958388,868.0481383097817,27.996653405912035,868.4995008778121,0.03225242030980639,2532.596164185409,713.7981878590006
0.000499618759509398,0.0031391972489407407,868.4706065152327,22.162981344062878,868.7533551722223,0.025519552622503345,2001.5261256041558,743.2017117401065
0.0006321838809406679,0.003972128472162173,868.7347350191908,17.552048002395743,868.9120290443343,0.02020415127295216,1581.8182496397003,767.5697978882215
0.0007999228445978454,0.005026063464054482,868.8998081636386,13.912556942809367,869.011182820736,0.01601169296171514,1250.1205669438552,787.5647946275659
0.0010121684158688046,0.006359641718978111,869.0029511709911,11.044607480388535,869.0731341482647,0.012709516654121605,987.9778743556627,803.8429152321568
0.0012807296466166268,0.008047061698090894,869.0673900348796,8.789913409958901,869.1118403288452,0.010114190810457313,780.8049127634036,817.0129212070532
0.0016205489145942255,0.010182209129744263,869.107646565488,7.0236601548035384,869.1360268223676,0.008081461695291043,617.0748633344358,827.616010804922
0.002050533296804868,0.012883880682366863,869.1327973073262,5.6478886437450315,869.1511479606927,0.006498303436762303,487.67801115846095,836.1193812328438
0.0025946065332796606,0.016302393647814925,869.1485146621867,4.586207297854724,869.1606145223473,0.005276667014310267,385.41489323083215,842.9179220890209
0.0032830401110907326,0.020627949388886527,869.1583441350756,3.7796218797090444,869.1665621278697,0.004348599890012279,304.59573022632594,848.3402515410421
0.004154137528285065,0.026101215881724038,869.1645033116984,3.183292727394769,869.1703326561828,0.0036624743823128517,240.72385499784497,852.656661658364
0.005256365447869308,0.03302671815121888,869.1683818409817,2.764059485764391,869.1727768498686,0.0031801196908588054,190.24552419682968,856.0875045140266
0.0066510503163241304,0.041789781624839914,869.1708548472523,2.498605759676538,869.1744462112572,0.002874700348892442,150.35219287781229,858.8111988484391
0.00841579048279582,0.05287797110980449,869.17248033885,2.3721665829919245,869.1757174200659,0.0027292242180368236,118.8242509178756,860.9714511228699
0.010648773664587188,0.06690821822881514,869.1736250980863,2.377709261126483,869.1768773198463,0.002735597575062357,93.90752696017286,862.6835364384139
0.013474239976793496,0.0846611466476007,869.1745474360766,2.515543228274414,869.1781876395897,0.0028941749798068257,74.21568873066583,864.0396290234515
0.017049394481543634,0.10712450490274368,869.1754554768819,2.79333780789796,869.1799440504561,0.0032137789790271593,58.65310941585188,865.1132479856975
0.021573153861585367,0.13554812337263772,869.1765541191598,3.2265491472281895,869.1825428814458,0.003712190730337907,46.35390849275258,865.962918380456
0.027297213871110962,0.1715134531219032,869.1780912707276,3.8392801961238674,869.1865705459614,0.004417138713782911,36.633775326730856,866.6351577423336
0.034540053341575436,0.21702155566498596,869.1804137880567,4.6656215887548225,869.1929358534773,0.005367840225967748,28.951895068335414,867.166895047541
0.043704653906143226,0.274604439278448,869.184045742563,5.751547942887511,869.2030750504447,0.006617180758275236,22.880858458404077,867.5874193368708
0.055300921343876444,0.34746593646133844,869.189806672647,7.1574748469907705,869.2192758273477,0.008234651156794351,18.08288136433972,867.9199428951512
0.06997405603643833,0.4396599607719104,869.1989965005465,8.961618294662816,869.2451933258051,0.010310203222441458,14.291010935242333,868.1828511741382
0.0885404510305287,0.5563160610060716,869.2136888289571,11.264342438735172,869.2866743820591,0.01295923267604194,11.294272712200218,868.3906997209928
0.1120331150249051,0.7039248222420442,869.2371987702622,14.193735450782803,869.3530754831544,0.01632895540004861,8.925932299371475,868.5550077596918
0.14175914755455554,0.8906989930730863,869.2748307982672,17.912719426963548,869.459370515164,0.0206065087729666,7.054218491368632,868.6848889324255
