i,tau_i,alpha_i,E_0,E_i
-,s,-,MPa,MPa
1,9.999999999934932e-28,0.06573188931563219,9144.791876,601.1044474077244
2,1.5848931924466851e-21,0.08322995943789224,9144.791876,761.1206569074465
3,2.5118864314867193e-15,0.13122590662259953,9144.791876,1200.0336048030827
4,1.0292041584762904e-07,0.27773376984088055,9144.791876,2539.817522131738
5,0.006309573444744515,0.34703261451791245,9144.791876,3173.541033950445
6,10000.0,0.07594163359664798,9144.791876,694.470433964795
