i,tau_i,alpha_i,G_0,G_i
-,s,-,GPa,GPa
1,0.0015915494309189533,0.0,2.137,0.0
2,0.0042696429663061156,0.018115396719706415,2.137,0.03871260279001261
3,0.011454153233055079,0.02268878390565713,2.137,0.048485931206389284
4,0.030728008716806525,0.0,2.137,0.0
5,0.08243389978189562,0.017808607518496864,2.137,0.0380569942670278
6,0.22114507633340172,0.01684380837495552,2.137,0.03599521849727995
7,0.5932649664264306,0.0,2.137,0.0
8,1.5915494309189535,0.05926540280403224,2.137,0.12665016579221688
